source	target
PFKP	ZDHHC23
BRK1	TMEM251
BRK1	PRPF18
BRK1	IFNA6
BRK1	CHD8
BRK1	EIF3H
BRK1	TMEM9B
MRPL16	LIPT2
MRPL16	COQ7
NDUFC1	DHRS4
NDUFC1	TAF5L
TMEM258	POLR2G
TMEM258	MED31
TMEM258	SEP15*
FAM162A	ASS1
PCNA	RACGAP1
STAMBP	C19orf52
STAMBP	ARL14EP
STAMBP	ATF7
STAMBP	C11orf74
STAMBP	CGRRF1
STAMBP	FBXL20
STAMBP	VPS26B
NDUFS6	SNF8
BAHD1	ENDOV
MX1	IFI44
MX1	OAS3
MX1	RSAD2
SYVN1	OR52D1
SYVN1	C16orf93
SYVN1	TSPAN31
RNASE1	FAM174B
RNASE1	GAS6
RNASE1	PLXND1
RNASE1	STAB1
PPP1R16A	PCBD1
PPP1R16A	C8orf82
PPP1R16A	HSF1
PPP1R16A	GPT
TMED9	BAX
TMED9	MVP
TMED9	PLEKHM2
SLIRP	NDUFS6
SLIRP	MRPS23
SLIRP	EIF3I
FURIN	ZNF598
RABAC1	SELM*
BLOC1S1	ATP6V0B
IGBP1	LTA4H
IGBP1	ZNF845
NDUFS4	ISCA2
NDUFS4	ZNHIT3
JUP	OSBPL6
JUP	VIPR1
ZCCHC3	BRPF1
ZCCHC3	ZFP82
ZCCHC3	FBLN7
ZCCHC3	SPO11
CCL2	TNFAIP6
CCL2	CCL8
CCL2	CXCL2
CCL2	PLAU
RAB11FIP5	KIAA1522
SELENBP1	ACOX2
SELENBP1	ABHD14A
SELENBP1	GPER1
SELENBP1	TGFBR1
RPS4Y1	IGBP1
MT1E	MT1M
MNAT1	PALB2
RNF181	BUD31
RNF181	RPS19BP1
RNF181	MAD2L1BP
RNF181	MZT2B
RNF181	C12orf10
RNF181	POLR2I
RNF181	NENF
RNF181	PPP1R14A
RNF181	TRMT112
DDX56	ATP6V0A1
DDX56	ZNF692
NELFB	INTS1
STK38	VPS9D1
STK38	JHDM1D
STK38	MTMR1
STK38	TMEM204
STK38	UBN1
GTF2E2	GRSF1
GTF2E2	MBTPS2
VPS37B	PRR14
S100A9	PI3
S100A9	CLC
S100A9	MNDA
S100A9	FOLR3
S100A9	LYZ
PFDN2	BTF3L4
PFDN2	NDUFAF4
GSTK1	LRRC58
DRAP1	ZFAND2B
DRAP1	ZNF787
DRAP1	AUP1
DRAP1	PRMT1
PDZD11	GPX8
PDZD11	TMEM80
TCEB2	ARF5
TCEB2	PRDX5
TCEB2	PTPN21
MRPL36	MRPS17
ANGPTL4	NNMT
ANGPTL4	ADM
ANGPTL4	C7orf63
ANGPTL4	THBS1
FXR2	ARRB1
FXR2	FUZ
EMC7	TMEM11
DTYMK	CDK5
KIAA0247	TOR4A
MTHFD1	C1orf115
FABP4	FABP9
NINJ1	STXBP4
ADCY6	ITGA7
ADCY6	IGIP
ADCY6	GABRE
ADCY6	MROH8
EMC3	TMOD1
PRPF19	ZGPAT
PRPF19	AAMP
PRPF19	AKAP8L
PRPF19	CHMP4B
PRPF19	DNAJB2
PRPF19	TMEM44
MSRB1	DNTTIP1
MSRB1	TLE1
NDN	RNF19B
NDN	AKT2
CSNK2A2	PPP1R26
CSNK2A2	HOXA6
CSNK2A2	PBX1
CSNK2A2	SCAPER
CSNK2A2	STAT5A
RPS19BP1	PARL
DNAJC13	NBPF3
COPG1	STT3A
COPG1	AP1G1
COPG1	ITPRIPL2
COPG1	WDR82
FEM1A	QRICH1
ADCY3	CSTA
C14orf142	CMC2
C14orf142	PDE6D
ISG15	IFI6
ISG15	SCO2
ISG15	OAS1
ISG15	OAS3
NAGK	ALDOB
NAGK	BID
NAGK	TRADD
PDIA5	TACSTD2
PDIA5	FGF11
PDIA5	SNCAIP
PDIA5	TFPI
NUPR1	RRAS
SEC61B	MPHOSPH6
SEC61B	NUP93
SEC61B	MRPL52
SEC61B	TIMM17A
SEC61B	TXNDC17
TMEM126A	TTC1
TMEM126A	RWDD1
TMEM126A	GLRX2
TMEM126A	COX16
TMEM126A	PIAS1
TMEM126A	PLGRKT
TMEM126A	CEP164
TMEM126A	MRPL1
TMEM126A	MRPL42
TMEM126A	SET
MIEN1	RILP
MIEN1	GPATCH8
GTF2B	C18orf8
GTF2B	RBM34
CIC	SARM1
VAMP8	SDF2L1
VAMP8	RAB32
VAMP8	LY96
VAMP8	CD28
VAMP8	CLIC1
VAMP8	CRTC3
VAMP8	PITPNA
VAMP8	RBMS3
VAMP8	SMCO4
VAMP8	TBX15
C11orf95	CENPJ
C11orf95	CSRNP2
C11orf95	DLG5
C11orf95	PRPSAP1
C11orf95	SEMA4F
C11orf95	TUB
C11orf95	ZCCHC14
AEBP1	DTX4
AEBP1	OAF
AEBP1	PRRX1
AEBP1	TMEM119
COX6A1	MRPL36
COX6A1	MALSU1
COX6A1	TMEM256
COX6A1	NDUFS3
COX6A1	C16orf80
COX6A1	C1orf213
NAA20	GGH
NAA20	NUDCD2
NAA20	DPF3
NAA20	MAFF
NAA20	MAGOH
NAA20	MRPL13
NAA20	NUDCD1
NAA20	SOCS6
NAA20	SSBP1
NAA20	ZBTB21
P4HA2	PFKM
P4HA2	ASPN
ZNF593	C12orf44
RRAS	APOPT1
RRAS	SNRPA
SLC29A1	CALB2
SLC29A1	TSPAN15
SLC29A1	CYGB
SLC29A1	FXYD1
SLC29A1	INPP5K
SLC29A1	ZNF362
MRPL14	WIBG
MRPL14	PFDN6
MRPL14	LAMTOR2
MRPL14	MRPL17
DPM2	ADRA2B
DPM2	SHH
DPM2	OR9K2
DNTTIP1	EIF4E2
DNTTIP1	FAM65C
PNLIPRP2	HIST1H2AJ
PNLIPRP2	C1orf64
PNLIPRP2	PPP1R32
PNLIPRP2	RAPSN
PNLIPRP2	DEFB127
PNLIPRP2	C12orf54
PNLIPRP2	CDYL2
PNLIPRP2	ACSM1
PNLIPRP2	CASS4
PNLIPRP2	CDC45
PNLIPRP2	DDX25
PNLIPRP2	GIF
PNLIPRP2	LINC00161
PNLIPRP2	PAP2*
PNLIPRP2	PATE1
PNLIPRP2	PRKG2
PNLIPRP2	SAMD15
PNLIPRP2	TMA16
PNLIPRP2	VSTM5
PNLIPRP2	WDR65
PNLIPRP2	ZIC2
PNLIPRP2	ZNF134
RPS7	RPL18
RPS7	SPECC1L
NAE1	DDX50
MRPL53	TMEM256
MRPL53	TTTY14
PI4KA	LRRC20
PI4KA	SKIV2L
ADIRF	SLC25A35
IARS2	ARHGEF28
IARS2	DIS3L
PTPLB	KPNA5
PTPLB	FGF13
PTPLB	IVD
PTPLB	MME
ITGB2	WDFY4
ITGB2	MYO9B
ITGB2	IFI30
ITGB2	ARAP1
ITGB2	BACH1
ITGB2	ITGAX
ITGB2	KCNN4
ITGB2	LAPTM5
ITGB2	MAPK13
ITGB2	MFHAS1
ITGB2	SLAMF7
ITGB2	SLCO1A2
EAPP	CIR1
EAPP	DDIT3
EAPP	ING4
GCN1L1	EIF5B
LSM2	FIBP
LSM2	USP39
FAH	ISOC2
FAH	TMEM120A
FAH	PNKD
FAH	QDPR
RPP25L	PHF5A
RPP25L	S100PBP
COX7A1	MYEOV2
COX7A1	POLR2L
JAGN1	SURF2
JAGN1	FAM207A
JAGN1	C15orf61
BYSL	GALE
CIRH1A	NFX1
CIRH1A	TSR1
HSD17B10	NDUFA9
NFKB1	TRIM56
NFKB1	EYA3
NFKB1	INO80D
DERL2	GEMIN6
HTN1	UNQ9370*
CLPP	MRPL16
CLPP	UBTD1
CLPP	LMAN2
CLPP	OXLD1
CLPP	PSMD8
CLPP	VPS26B
SMPD1	TMEM248
MRPL24	RPS19BP1
MRPL24	NQO2
MRPL24	PFDN6
MRPL24	BOLA3
MRPL24	DNPH1
MRPL24	BLVRA
MRPL24	MCEE
MRPL24	COA3
MRPL24	NDUFA9
MRPL24	LSM3
PIEZO1	CCNF
PIEZO1	MAF1
P14*	SPATA31C2
P14*	C8orf59
P14*	FRMPD1
P14*	TPRKB
AVPI1	PCBD1
AVPI1	ATP8A2
AVPI1	KIAA1958
AVPI1	SIK2
MICU2	PSMC6
MICU2	PLEKHG4B
MICU2	ERAS
MICU2	MPHOSPH6
MICU2	C18orf25
MICU2	DCAF13
MICU2	DMWD
MICU2	IQCF1
MICU2	VTA1
MICU2	ZBTB7A
NDUFV1	TRAP1
NDUFV1	STOML1
GMFG	ARHGDIB
GMFG	BID
GMFG	MFNG
GMFG	PFDN5
GMFG	ZFHX4
CPVL	MANBA
CPVL	PLEKHH1
CPVL	TMED3
GYPC	DTX4
GYPC	FBXO9
GYPC	GOLM1
GYPC	LOXL4
GYPC	TRMU
THYN1	TMCO6
SRSF4	EDF1
DHX29	CUL2
ZNRD1	HMGN4
ZNRD1	C14orf119
IER3IP1	MRPL51
IGFBP6	FN1
IGFBP6	FST
IGFBP6	GLDN
IGFBP6	ITGBL1
IGFBP6	MEDAG
IGFBP6	SCARA5
TMEM216	DNTTIP1
TMEM216	NXT1
TMEM216	HAUS4
TMEM216	ZSCAN9
TMEM216	CASP9
TMEM216	MKI67IP
TMEM216	PINX1
TMEM216	RRP8
TMEM216	SLC35A1
TMEM216	TM2D3
ACP5	DHRS9
ACP5	CTSZ
ACP5	OPN3
ACP5	ATP1B1
ACP5	CCL22
ACP5	CDKN2A
ACP5	FPR3
ACP5	GAL
ACP5	GALM
ACP5	LILRB4
ACP5	SLAMF8
ACP5	SLC29A3
MRPL40	FAM162A
MRPL40	PSMA7
MRPL40	NDUFB10
MRPL40	CKS1B
MRPL40	CNPY2
MRPL40	NSMCE1
CPNE2	EXOC3
CPNE2	SLC29A1
CPNE2	GPS2
CPNE2	CTSA
CPNE2	FSCN1
CPNE2	HNRNPA0
CPNE2	RAB11FIP3
CPNE2	SLC37A4
CPNE2	TM9SF1
STX18	SLC25A53
CELA2B	IQCF2
CELA2B	SLC39A5
CELA2B	GLIPR1L1
CELA2B	OR2J2
CELA2B	ZNF677
CELA2B	ESRP2
CELA2B	TCEB3B
CELA2B	RTP2
CELA2B	HIST1H3C
CELA2B	CATSPER4
CELA2B	GPR157
CELA2B	MYOZ3
CELA2B	PAQR6
CELA2B	ULBP1
CELA2B	ZNF768
LRRC20	MPV17L
NME3	C12orf57
NME3	MRPL49
NME3	LIN7B
NME3	VAMP5
NME3	C16orf86
NME3	SLC25A28
NME3	ADA
NME3	KDM5D
NME3	QTRT1
NME3	SDR39U1
NME3	TEX264
RBP4	CSMD1
EMP3	PLP2
EMP3	TIMP1
AZGP1	PPP1R16A
AZGP1	ALDH6A1
AZGP1	MAN2A1
AZGP1	AGPAT9
AZGP1	C12orf39
AZGP1	PLIN5
AZGP1	UBE2QL1
AZGP1	HYI
AZGP1	CKB
AZGP1	HRSP12
AZGP1	ALDH1L1
AZGP1	COL6A6
AZGP1	ALPK3
AZGP1	CTGF
AZGP1	GJC3
AZGP1	LY6K
DDX50	THNSL1
UHRF2	TAF7
UHRF2	KATNBL1
UHRF2	EPM2AIP1
UHRF2	TP53INP1
BTD	ACOT4
BTD	GGCX
BTD	PTPRS
SLC27A2	CIDEA
SLC27A2	CHODL
SLC27A2	DAPK2
SLC27A2	ENOX1
