Probe_Id	Symbol	is.hub	Module	has.cisEQTL	module.rank	cor.w.sqrtBMI	cor.w.logmatsuda	cor.w.logSi	is.keydriver	connectivity
ILMN_1688534	EIF2B5	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	8
ILMN_1683475	TOMM40	FALSE	M2	FALSE	490	NegativeCorr	PositiveCorr	NotCorr	FALSE	11
ILMN_1735474	R3HCC1	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	11
ILMN_1882764	LOC730358	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	5
ILMN_3246538	LOC100133866	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	12
ILMN_1763828	MTF1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	19
ILMN_1774074	RXRB	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_1797384	UROS	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	5
ILMN_1664028	CENPB	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	24
ILMN_2093231	WBP1	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	7
ILMN_1676665	CUEDC1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	14
ILMN_2127328	PURA	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	10
ILMN_1728845	SMARCD1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	21
ILMN_3233179	LOC728969	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	42
ILMN_1663541	B4GALT7	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	11
ILMN_1747281	EVI5L	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	16
ILMN_1740351	KIAA0174	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	5
ILMN_1731107	CCDC92	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	38
ILMN_1662340	ZNF358	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	17
ILMN_3238945	LOC100134261	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	3
ILMN_1654890	LENG8	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_1804498	C7orf27	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	69
ILMN_1697420	TINF2	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	5
ILMN_1745697	MGRN1	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	9
ILMN_1777118	INTS9	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	9
ILMN_1764754	RAMP1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	19
ILMN_1734880	LOC644128	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	4
ILMN_1662130	LOC730316	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_1754842	DLGAP4	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	16
ILMN_1722648	SF3B4	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	24
ILMN_1690304	MGC26718	FALSE	M2	FALSE	490	NegativeCorr	PositiveCorr	PositiveCorr	FALSE	5
ILMN_3188054	LOC100130757	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	16
ILMN_2311537	HMGA1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	51
ILMN_1743806	MIF4GD	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	13
ILMN_1752927	KIAA1600	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	4
ILMN_1651405	BRD9	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	13
ILMN_1730658	YTHDF2	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	8
ILMN_2339748	RNF13	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	13
ILMN_1812489	CCDC21	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	73
ILMN_2136089	MTE	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	8
ILMN_1715698	MGC71993	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	3
